titulo,cidade_estado,autoria,ano,link_experiencia
"SORRISO LEGAL: REESTABELECENDO A FUNÇÃO, AUTOESTIMA, AUTOCONFIANÇA E A ESTÉTICA BUCAL DOS PACIENTES",Amapá - AP,MARIA DE JESUS SOUSA CALDAS,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/20_sorriso-legal-reestabelecendo-a-funcao-autoestima-autoconfianca-e-a-estetica-bucal-dos-pacientes
CUIDADO DE PESSOAS COM DOENÇAS CRÔNICAS E DE GRÁVIDAS EM PERÍODO DE ENCHENTES,Laranjal do Jari - AP,GABRIELA PAGNO NASCIMENTO,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/21_cuidado-de-pessoas-com-doencas-cronicas-e-de-gravidas-em-periodo-de-enchentes
MOBILIZA COSEMS/AP: OFICINAS DE QUALIFICAÇÃO NOS MUNICÍPIOS DO AMAPÁ - PROGRAMA PREVINE BRASIL,Macapá - AP,ELINETE OTONI LADISLAU,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/18_mobiliza-cosems-ap-oficinas-de-qualificacao-nos-municipios-do-amapa-programa-previne-brasil
BRINCAR PARA ELIMINAR:INTEGRAÇÃO VIG. AMBIENTAL E ATENÇÃO BÁSICA NA PREVENÇÃO DA MALÁRIA NAS ESCOLAS,Mazagão - AP,TIAGO JOSÉ DE SOUZA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/19_brincar-para-eliminar-integracao-vig-ambiental-e-atencao-basica-na-prevencao-da-malaria-nas-escolas
IMPLANTAÇÃO DO NUCLEO DE EDUCAÇÃO PERMANENTE EM SAUDE NO MUNICIPIO DE ACAJUTIBA/BA,Acajutiba - BA,Jusseli Pereira de Araujo,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/32_implantacao-do-nucleo-de-educacao-permanente-em-saude-no-municipio-de-acajutiba-ba
ACESSO AVANÇADO: QUEBRANDO PARADIGMAS DE AGENDAMENTO DE CONSULTAS NA APS DE CAMAÇARI - BA,Camaçari - BA,Luiz Evandro Vargas Duplat,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/23_acesso-avancado-quebrando-paradigmas-de-agendamento-de-consultas-na-aps-de-camacari-ba
PROGRAMA VIVER BEM CAMPO FORMOSO,Campo Formoso - BA,Uelliton Andrade Souza Carvalho,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/41_programa-viver-bem-campo-formoso
A EQUOTERAPIA COMO ABORDAGEM MULTIDISCIPLINAR PARA CRIANÇAS E ADOLESCENTES COM DEFICIÊNCIA,Capim Grosso - BA,LEIDE COSTA RIOS,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/36_a-equoterapia-como-abordagem-multidisciplinar-para-criancas-e-adolescentes-com-deficiencia
GERENCIAMENTO DE HIPERTENSOS E DIABÉTICOS ATENDIDOS NA EMERGÊNCIA E SUA INTERFACE COM ATENÇÃO BÁSICA,Dias d'Ávila - BA,Daniella Albino da Silva Carvalho,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/25_gerenciamento-de-hipertensos-e-diabeticos-atendidos-na-emergencia-e-sua-interface-com-atencao-basica
O ACOLHIMENTO PEDAGÓGICO COMO DISPOSITIVO PARA QUALIFICAR OS TRABALHADORES DA ATENÇÃO BÁSICA,Dom Basílio - BA,Valiane Loredo de Matos Félix,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/31_o-acolhimento-pedagogico-como-dispositivo-para-qualificar-os-trabalhadores-da-atencao-basica
NASF:EXPERIÊNCIA COM GRUPO DE ESTIMULAÇÃO PRECOCE EM CRIANÇAS COM MICROCEFALIA E PARALISIA CEREBRAL.,Esplanada - BA,Larissa Santos Lima,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/37_nasf-experiencia-com-grupo-de-estimulacao-precoce-em-criancas-com-microcefalia-e-paralisia-cerebral
"PROJETO AMBULANTE SEGURO, UMA EXPERIÊNCIA DE MELHORIAS SANITÁRIA NO COMÉRCIO AMBULANTE DE ALIMENTOS",Ipiaú - BA,Vanessa Sampaio Fonseca,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/24_projeto-ambulante-seguro-uma-experiencia-de-melhorias-sanitaria-no-comercio-ambulante-de-alimentos
"PLANEJAPS: CIRANDAS. DEBATES, AFETOS E ATOS NA TESSITURA DA APS COM TODOS E PARA TODOS, ITABUNA/BA.",Itabuna - BA,Dayse Batista Santos,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/34_planejaps-cirandas-debates-afetos-e-atos-na-tessitura-da-aps-com-todos-e-para-todos-itabuna-ba
"ENTÃO É NATAL: CHUVAS, ENCHENTE, SÍNDROME GRIPAL E O APOIO INSTITUCIONAL COSEMS BA",Itajuípe - BA,Adilson Ribeiro dos Santos,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/43_entao-e-natal-chuvas-enchente-sindrome-gripal-e-o-apoio-institucional-cosems-ba
MONITORAMENTO E TELEATENDIMENTO:ESTRATÉGIAS UTILIZADAS NO ACOMPANHAMENTO DE CASOS DURANTE A PANDEMIA,Jaguaripe - BA,Lilia Uzeda da Silva Neta,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/40_monitoramento-e-teleatendimento-estrategias-utilizadas-no-acompanhamento-de-casos-durante-a-pandemia
“PROMOÇÃO À SAÚDE MENTAL DOS ADOLESCENTES: RELATO DE UMA EXPERIÊNCIA  EM  MAIRI-BA”,Mairi - BA,ARITANA OLIVEIRA SILVA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/42_promocao-a-saude-mental-dos-adolescentes-relato-de-uma-experiencia-em-mairi-ba
A DESCENTRALIZAÇÃO DOS EXAMES BÁSICOS PARA AS UNIDADES DE SAÚDE DO MUNICÍPIO DE MIGUEL CALMON – BA,Miguel Calmon - BA,Tarcília Soares Ferreira Rocha,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/28_a-descentralizacao-dos-exames-basicos-para-as-unidades-de-saude-do-municipio-de-miguel-calmon-ba
TRANSFORMAÇÃO DA COMUNIDADE QUILOMBOLA BOI DO MUNICÍPIO DE PINDAÍ A PARTIR DA ACESSIBILIDADE NO SUS.,Pindaí - BA,EVERTON GOMES SILVA BUENO,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/39_transformacao-da-comunidade-quilombola-boi-do-municipio-de-pindai-a-partir-da-acessibilidade-no-sus
CUIDADO FARMACÊUTICO PARA DIABÉTICOS INSULINO-DEPENDENTES EM PONTO NOVO-BA,Ponto Novo - BA,Vânia de Santana Lima Reis,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/27_cuidado-farmaceutico-para-diabeticos-insulino-dependentes-em-ponto-novo-ba
AMPLIAÇÃO NA OFERTA DO MÉTODO CONTRACEPTIVO DE LONGA DURAÇÃO NO MUNICÍPIO DE PORTO SEGURO,Porto Seguro - BA,Vanessa de Almeida Trevisol,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/38_ampliacao-na-oferta-do-metodo-contraceptivo-de-longa-duracao-no-municipio-de-porto-seguro
SAÚDE BUCAL AO ALCANCE DE TODOS: ATENDIMENTO ODONTOLÓGICO NOTURNO CHEGA ÀS COMUNIDADES RURAIS,Quixabeira - BA,ERILBERTO OLIVEIRA LIMA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/33_saude-bucal-ao-alcance-de-todos-atendimento-odontologico-noturno-chega-as-comunidades-rurais
ESPAÇOS COLETIVOS COMO DISPOSITIVOS DO APOIO INSTITUCIONAL PARA FORTALECIMENTO DA APS NO EXTREMO SUL,Salvador - BA,Beatriz Adriani Miranda Duarte,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/30_espacos-coletivos-como-dispositivos-do-apoio-institucional-para-fortalecimento-da-aps-no-extremo-sul
O PROTAGONISMO DO COSEMS NO FORTALECIMENTO DA REDE DE ATENÇÃO A PESSOA COM DRC ATRAVÉS DO SISNEFRO.,Salvador - BA,STELA DOS SANTOS SOUZA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/44_o-protagonismo-do-cosems-no-fortalecimento-da-rede-de-atencao-a-pessoa-com-drc-atraves-do-sisnefro
A IMPORTÂNCIA DO CONTROLE DAS DESPESAS DA SECRETARIA MUNICIPAL DE SAÚDE DE SANTO ESTEVÃO - BAHIA,Santo Estêvão - BA,Larissa dos Santos Figueiredo,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/26_a-importancia-do-controle-das-despesas-da-secretaria-municipal-de-saude-de-santo-estevao-bahia
IMPLANTAÇÃO DA ESCOLA DE EDUCAÇÃO PERMANENTE EM SAÚDE: PERSPECTIVA DE UMA PRÁXIS TRANSFORMADORA.,Serra Preta - BA,Greice Kely Oliveira de Souza,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/29_implantacao-da-escola-de-educacao-permanente-em-saude-perspectiva-de-uma-praxis-transformadora
"O PROJETO TEABRAÇA: DO LADO DE FORA, OLHANDO PARA DENTRO DE QUEM VIVE COM AUTISMO EM UBAITABA.",Ubaitaba - BA,Tamires Sampaio Santos,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/22_o-projeto-teabraca-do-lado-de-fora-olhando-para-dentro-de-quem-vive-com-autismo-em-ubaitaba
PROGRAMA AF MAIS PERTO: ASSISTÊNCIA FARMACÊUTICA INTEGRADA A ATENÇÃO BÁSICA CUIDANDO DAS PESSOAS,Vitória da Conquista - BA,Pablo Maciel Brasil Moreira,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/35_programa-af-mais-perto-assistencia-farmaceutica-integrada-a-atencao-basica-cuidando-das-pessoas
PROGRAMA DE AVALIAÇÃO E CERTIFICAÇÃO MUNICIPAL DA ATENÇÃO BÁSICA: EXPERIENCIA DO MUNICIPIO DO CRATO,Crato - CE,MILENNA ALENCAR BRASIL,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/50_programa-de-avaliacao-e-certificacao-municipal-da-atencao-basica-experiencia-do-municipio-do-crato
ATUAÇÃO DA ATENÇÃO BÁSICA DE EUSÉBIO NO ENFRENTAMENTO DO NOVO CORONAVÍRUS: RELATO DE EXPERIÊNCIA,Eusébio - CE,IVNA SILVA ANDRADE,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/52_atuacao-da-atencao-basica-de-eusebio-no-enfrentamento-do-novo-coronavirus-relato-de-experiencia
COSEMS INTERATIVO ATUALIZA: ESTRATÉGIA DO APOIADOR NO ALCANCE DE METAS DO PREVINE BRASIL,Fortaleza - CE,Ana Virgínia de Castro da Justa,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/55_cosems-interativo-atualiza-estrategia-do-apoiador-no-alcance-de-metas-do-previne-brasil
SALA DE SITUAÇÃO DO APOIADOR: ESTRATÉGIA DE MONITORAMENTO OPORTUNO,Fortaleza - CE,Elton Cleberton Ferreira,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/56_sala-de-situacao-do-apoiador-estrategia-de-monitoramento-oportuno
IMPLANTAÇÃO DO ACOLHIMENTO COM CLASSIFICAÇÃO DE RISCO  NO HOSPITAL MUNICIPAL DOM ALOÍSIO LORSCHEIDER,Guaiúba - CE,Tereza Cristina Ribeiro Brito,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/54_implantacao-do-acolhimento-com-classificacao-de-risco-no-hospital-municipal-dom-aloisio-lorscheider
MONITORAMENTO VACINAL EM TEMPO REAL,Icapuí - CE,Ana Nery Rodrigues Reis,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/49_monitoramento-vacinal-em-tempo-real
"EQUIPES DE APOIADORES DE DESEMPENHO (EADES): ESTREITANDO LAÇOS, MELHORANDO RESULTADOS",Jaguaribe - CE,Tatyana Nunes Duarte,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/53_equipes-de-apoiadores-de-desempenho-eades-estreitando-lacos-melhorando-resultados
FLASH DE ESPERANÇA COMO ESTRATÉGIA DE RESGATE DO AUTOCUIDADO EM USUÁRIOS DO SERVIÇO DE SAÚDE MENTAL,Limoeiro do Norte - CE,SAMANTA DAISY DE OLIVEIRA HOLANDA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/46_flash-de-esperanca-como-estrategia-de-resgate-do-autocuidado-em-usuarios-do-servico-de-saude-mental
OLHA A RURAL DA VACINA CHEGANDO: PROMOVENDO A GARANTIA DE ACESSO AS VACINAS CONTRA A COVID 19.,Missão Velha - CE,Kay France de Araújo Pereira Quindere,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/45_olha-a-rural-da-vacina-chegando-promovendo-a-garantia-de-acesso-as-vacinas-contra-a-covid-19
PROJETO COALA: A INTEGRALIDADE DO CUIDADO AO RECÉM-NASCIDO PREMATURO NA ATENÇÃO PRIMÁRIA,Sobral - CE,Carlos Romualdo de Carvalho e Araújo,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/47_projeto-coala-a-integralidade-do-cuidado-ao-recem-nascido-prematuro-na-atencao-primaria
CENTRO INTEGRADO DE ATENDIMENTO AO CAMINHONEIRO NO MUNICÍPIO DE TABULEIRO DO NORTE-CE,Tabuleiro do Norte - CE,Charles Campelo de Oliveira,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/51_centro-integrado-de-atendimento-ao-caminhoneiro-no-municipio-de-tabuleiro-do-norte-ce
SAÚDE NA ROÇA: UMA AÇÃO INTERSETORIAL,Várzea Alegre - CE,Ivo de Oliveira Leal,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/48_saude-na-roca-uma-acao-intersetorial
MAPAS DA SAÚDE: BUSCA DE UNIDADES BÁSICAS PELOS CIDADÃOS E GESTÃO DE SAÚDE NO TERRITÓRIO DO DF,Brasilia - DF,FABIANA AMARAL ABRITTA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/334_mapas-da-saude-busca-de-unidades-basicas-pelos-cidadaos-e-gestao-de-saude-no-territorio-do-df
APLICATIVO  NND-HRT,Brasilia - DF,ISRAEL ALVES DA SILVA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/335_aplicativo-nnd-hrt
Cuidando da dor – Aprendendo a minimizar as dores na coluna – uma abordagem na atenção primária,Brasilia - DF,PEDRO HENRIQUE GONçALVES,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/336_cuidando-da-dor-aprendendo-a-minimizar-as-dores-na-coluna-uma-abordagem-na-atencao-primaria
UNIDADE DE QUALIDADE DE VIDA - PROMOVENDO SAUDE E QUALIDADE DE VIDA EM CACHOEIRO DE ITAPEMIRIM/ES,Cachoeiro de Itapemirim - ES,MARUSCA PEREIRA MESQUITA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/60_unidade-de-qualidade-de-vida-promovendo-saude-e-qualidade-de-vida-em-cachoeiro-de-itapemirim-es
Odontologia no Hospital Geral de Linhares (HGL): Uma estratégia para a integralidade na saúde bucal,Linhares - ES,ITAMAR FRANCISCO TEIXEIRA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/57_odontologia-no-hospital-geral-de-linhares-hgl-uma-estrategia-para-a-integralidade-na-saude-bucal
Impacto dos apoiadores na alimentação do Digisus com o plano municipal de Saúde e RAG,Muniz Freire - ES,JOVELINA FERREIRA DA SILVA AGUIAR,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/62_impacto-dos-apoiadores-na-alimentacao-do-digisus-com-o-plano-municipal-de-saude-e-rag
"PROEF ON LINE, SAÚDE E MOVIMENTO NA SUA TELA",Serra - ES,ERICH MARTINS CHIABAI,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/58_proef-on-line-saude-e-movimento-na-sua-tela
ESTRATÉGIAS DE MONITORAMENTO DOS INDICADORES DO PROGRAMA PREVINE BRASIL EM VENDA NOVA DO IMIGRANTE,Venda Nova do Imigrante - ES,SOLANGE APARECIDA MAURO FIORESI,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/59_estrategias-de-monitoramento-dos-indicadores-do-programa-previne-brasil-em-venda-nova-do-imigrante
JARDINS TERAPÊUTICOS E HORTAS URBANAS COMUNITÁRIAS: ESTRATÉGIAS PARA PROMOÇÃO DA SAÚDE EM VITÓRIA,Vitória - ES,HENRIQUETA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/61_jardins-terapeuticos-e-hortas-urbanas-comunitarias-estrategias-para-promocao-da-saude-em-vitoria
PROMOVENDO INTEGRALIDADE E  EQUIDADE A SAÚDE NA POPULAÇÃO NEGRA E QUILOMBOLA EM CACHOEIRA DOURADA,Cachoeira Dourada - GO,Tiago Nogueira de Abreu,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/68_promovendo-integralidade-e-equidade-a-saude-na-populacao-negra-e-quilombola-em-cachoeira-dourada
UM NOVEMBRO ALÉM DO AZUL: A BUSCA PELA ADESÃO E CUIDADO DA POPULAÇÃO MASCULINA EM GOIANÁPOLIS-GO,Goianápolis - GO,CLAUDIO SILVA CAMPOS,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/64_um-novembro-alem-do-azul-a-busca-pela-adesao-e-cuidado-da-populacao-masculina-em-goianapolis-go
PAINEL ICSAP COSEMS/GO: FERRAMENTA DE GESTAO PARA OS MUNICÍPIOS GOIANOS,Goiânia - GO,Maria Aparecida Rodrigues de Andrade,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/73_painel-icsap-cosems-go-ferramenta-de-gestao-para-os-municipios-goianos
COMISSÃO INTERGESTORES DE INHUMAS-GO: COOPERAÇÃO E CORRESPONSABILIZAÇÃO NA REDE DE ATENÇÃO À SAÚDE,Inhumas - GO,Patricia Palmeira de Brito Fleury,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/63_comissao-intergestores-de-inhumas-go-cooperacao-e-corresponsabilizacao-na-rede-de-atencao-a-saude
EQUIPE MULTIPROFISSIONAL DA ATENÇÃO PRIMÁRIA À SAÚDE NAS ESCOLAS PÚBLICAS DE ITUMBIARA,Itumbiara - GO,GEISIANE BATISTA LANA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/69_equipe-multiprofissional-da-atencao-primaria-a-saude-nas-escolas-publicas-de-itumbiara
FOTOBIOMODULAÇÃO NO TRATAMENTO DE LESÃO POR PRESSÃO DECORRENTE DE  INTERNAÇÃO A LONGO PRAZO,Joviânia - GO,Ritchelly Dos Reis Ramos,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/66_fotobiomodulacao-no-tratamento-de-lesao-por-pressao-decorrente-de-internacao-a-longo-prazo
INCENTIVANDO O MAIS SIMPLES EM BUSCA DE MELHORES RESULTADOS - ALEITAMENTO MATERNO,Pontalina - GO,ADA KELLE COSTA E SILVA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/67_incentivando-o-mais-simples-em-busca-de-melhores-resultados-aleitamento-materno
INOVAÇÃO DO PROCESSO REGULATÓRIO NO MUNICÍPIO DE RIO VERDE/GO.,Rio Verde - GO,Ana Cláudia Chaves Lira,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/70_inovacao-do-processo-regulatorio-no-municipio-de-rio-verde-go
"AÇÕES DA APS FRENTE A PANDEMIA PROVOCADA PELA COVID-19: EXPERIÊNCIA EM RIO VERDE, GOIÁS, BRASIL",Rio Verde - GO,Raquel Nogueira Salviano,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/71_acoes-da-aps-frente-a-pandemia-provocada-pela-covid-19-experiencia-em-rio-verde-goias-brasil
EDUCAÇÃO EM SAÚDE NA HUMANIZAÇÃO DO CUIDADO À SAÚDE DA POPULAÇÃO EM SITUAÇÃO DE RUA,Rio Verde - GO,Wilton Karlos Lopes da Mota Miranda,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/72_educacao-em-saude-na-humanizacao-do-cuidado-a-saude-da-populacao-em-situacao-de-rua
AÇÕES MULTIPROFISSIONAIS EM SAÚDE UROGINECOLÓGICA DE MULHERES SANJOANENSES: OBJETIVOS E CONDUTAS,São João da Paraúna - GO,Ana Karoliny Ferreira Peres,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/65_acoes-multiprofissionais-em-saude-uroginecologica-de-mulheres-sanjoanenses-objetivos-e-condutas
ARTICULAÇÃO INTERFEDERATIVA COMO APOIO NA QUALIFICAÇÃO DO PLANEJAMENTO NA REGIÃO SERRA DA MESA/GO,Uruaçu - GO,Thalyta Samara Medeiros Souto,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/74_articulacao-interfederativa-como-apoio-na-qualificacao-do-planejamento-na-regiao-serra-da-mesa-go
IMPLANTAÇÃO DE UM CENTRO DE REFERÊNCIA EM  SAÚDE DA MULHER EM UM MUNICIPIO MARANHENSE,Barra do Corda - MA,ONILDA GABRIELLE RAMOS NEGREIROS,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/76_implantacao-de-um-centro-de-referencia-em-saude-da-mulher-em-um-municipio-maranhense
Tecendo a Rede de Atenção para reestruturação da linha de cuidado materno em São José de Ribamar,São José de Ribamar - MA,ELLEN ROSE SOUSA SANTOS,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/80_tecendo-a-rede-de-atencao-para-reestruturacao-da-linha-de-cuidado-materno-em-sao-jose-de-ribamar
"Projeto  saúde na sua porta - serviços de saúde para as comunidades da zona rural, difícil acesso.",São Luís - MA,THAIS KELLEN LEITE DE MESQUITA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/77_projeto-saude-na-sua-porta-servicos-de-saude-para-as-comunidades-da-zona-rural-dificil-acesso
